iter	Passed	Remaining
0	482	481932
1	895	446988
2	1284	427007
3	1877	467480
4	2288	455418
5	2834	469527
6	3312	469941
7	3873	480357
8	4333	477206
9	4842	479391
10	5186	466275
11	5589	460206
12	6073	461096
13	6438	453465
14	6812	447352
15	7236	445034
16	7586	438684
17	7959	434242
18	8307	428931
19	8653	424000
20	9482	442055
21	10192	453095
22	10969	465983
23	11766	478506
24	12525	488503
25	13309	498588
26	14100	508157
27	14673	509385
28	15082	505017
29	15478	500468
30	15882	496452
31	16224	490804
32	16559	485229
33	16937	481215
34	17376	479097
35	17842	477786
36	18305	476425
37	18670	472651
38	19095	470524
39	19432	466373
40	19782	462713
41	20190	460529
42	20558	457550
43	20974	455724
44	21347	453045
45	21782	451748
46	22197	450091
47	22623	448696
48	22981	446019
49	23499	446483
50	23905	444827
51	24312	443235
52	24745	442153
53	25093	439595
54	25531	438672
55	26084	439715
56	26592	439943
57	27286	443178
58	27637	440797
59	28105	440324
60	28439	437781
61	28853	436530
62	29213	434494
63	29574	432528
64	29922	430427
65	30259	428217
66	30590	425987
67	30941	424078
68	31354	423056
69	31799	422479
70	32382	423704
71	32826	423099
72	33180	421340
73	33517	419416
74	33830	417247
75	34148	415177
76	34458	413048
77	34771	411018
78	35085	409035
79	35396	407064
80	35714	405210
81	36144	404645
82	36576	404108
83	36914	402548
84	37482	403485
85	38113	405066
86	38759	406750
87	39215	406412
88	39620	405549
89	40028	404734
90	40460	404160
91	40910	403772
92	41322	403006
93	41726	402173
94	42167	401696
95	42682	401931
96	43076	401008
97	43471	400114
98	43894	399485
99	44369	399322
100	44760	398413
101	45146	397466
102	45565	396814
103	45961	395976
104	46532	396634
105	46930	395812
106	47678	397914
107	48093	397214
108	48685	397967
109	49350	399288
110	49964	400162
111	50477	400218
112	50946	399908
113	51516	400379
114	52062	400657
115	52533	400340
116	53134	401010
117	53797	402114
118	54319	402143
119	54796	401837
120	55210	401073
121	55610	400209
122	56610	403638
123	57069	403167
124	57704	403933
125	58251	404065
126	58825	404369
127	59384	404554
128	60205	406500
129	60746	406535
130	61359	407034
131	61865	406811
132	62323	406273
133	62784	405759
134	63261	405341
135	63766	405104
136	64432	405879
137	65045	406295
138	65484	405628
139	66092	405997
140	66568	405547
141	66973	404672
142	67414	404015
143	67868	403441
144	68249	402435
145	68640	401497
146	69003	400405
147	69342	399189
148	69689	398024
149	70042	396904
150	70388	395760
151	70794	394959
152	71151	393890
153	71550	393064
154	71948	392234
155	72302	391177
156	72665	390173
157	73057	389334
158	73489	388709
159	73864	387790
160	74198	386663
161	74528	385522
162	74854	384375
163	75252	383604
164	75598	382575
165	75949	381579
166	76272	380451
167	76594	379323
168	76915	378206
169	77237	377102
170	77559	376004
171	77882	374920
172	78278	374196
173	78623	373235
174	78948	372186
175	79270	371129
176	79593	370086
177	79920	369070
178	80242	368040
179	80567	367029
180	80892	366027
181	81212	365009
182	81535	364011
183	81852	362998
184	82175	362015
185	82494	361024
186	82821	360073
187	83147	359125
188	83466	358153
189	83785	357190
190	84107	356244
191	84426	355296
192	84750	354369
193	85076	353463
194	85396	352532
195	85716	351612
196	86035	350692
197	86357	349792
198	86684	348916
199	87017	348071
200	87339	347185
201	87667	346328
202	87990	345461
