iter	Passed	Remaining
0	0	233
1	0	206
2	1	200
3	1	189
4	1	181
5	2	175
6	2	174
7	2	170
8	3	169
9	3	167
10	3	164
11	4	162
12	4	161
13	4	159
14	4	158
15	5	157
16	5	157
17	5	156
18	6	155
19	6	155
20	7	181
21	8	183
22	8	183
23	9	182
24	9	180
25	9	179
26	10	178
27	10	181
28	11	180
29	11	178
30	11	177
31	12	176
32	12	174
33	12	173
34	12	171
35	13	170
36	13	169
37	13	168
38	14	167
39	14	166
40	14	165
41	15	164
42	15	163
43	15	162
44	15	161
45	16	160
46	16	159
47	16	158
48	17	157
49	17	157
50	17	156
51	18	155
52	18	155
53	18	154
54	19	153
55	19	153
56	19	152
57	19	151
58	20	150
59	20	149
60	20	149
61	22	156
62	22	156
63	22	156
64	23	156
65	23	155
66	23	154
67	24	154
68	24	153
69	24	153
70	25	152
71	25	151
72	25	151
73	26	150
74	26	150
75	26	149
76	27	149
77	27	148
78	27	147
79	28	147
80	28	146
81	28	145
82	28	145
83	29	144
84	29	143
85	29	143
86	30	142
87	30	142
88	30	141
89	30	140
90	31	140
91	31	139
92	31	139
93	32	138
94	32	138
95	32	137
96	33	137
97	33	136
98	33	136
99	33	135
100	34	135
101	34	134
102	35	135
103	35	135
104	35	135
105	36	134
106	36	134
107	36	133
108	37	133
109	37	133
110	37	132
111	38	131
112	38	131
113	38	131
114	39	130
115	39	130
116	39	129
117	39	129
118	40	128
119	40	128
120	40	127
121	41	127
122	41	126
123	41	126
124	42	126
125	42	125
126	42	125
127	43	125
128	43	124
129	43	124
130	44	124
131	44	123
132	44	123
133	44	122
134	45	122
135	45	122
136	45	121
137	46	121
138	46	120
139	46	120
140	47	120
141	47	119
142	49	122
143	49	122
144	50	122
145	50	122
146	50	121
147	50	121
148	51	120
149	51	120
150	51	119
151	52	119
152	52	119
153	52	118
154	53	118
155	53	117
156	53	117
157	53	116
158	54	116
159	54	115
160	54	115
161	55	114
162	55	114
163	55	114
164	56	113
165	56	113
166	56	112
167	56	112
168	57	112
169	57	111
170	57	111
171	58	110
172	58	110
173	58	110
174	59	109
175	59	109
176	59	108
177	59	108
178	60	107
179	60	107
180	60	107
181	61	106
182	61	106
183	61	105
184	62	106
185	62	105
186	62	105
187	63	105
188	63	104
189	63	104
190	64	104
191	64	103
192	64	103
193	65	102
194	65	102
195	65	102
196	66	101
197	66	101
198	66	100
199	66	100
200	67	100
201	67	99
202	67	99
203	68	98
204	68	98
205	68	98
206	68	97
207	69	97
208	69	96
209	69	96
210	70	96
211	70	95
212	70	95
213	71	95
214	71	94
215	71	94
216	72	93
217	72	93
218	72	93
219	72	92
220	73	92
221	73	92
222	73	91
223	74	91
224	75	92
225	75	91
226	76	91
227	76	91
228	76	91
229	77	90
230	77	90
231	77	89
232	78	89
233	78	89
234	78	88
235	78	88
236	79	87
237	79	87
238	79	86
239	79	86
240	80	86
241	80	85
242	80	85
243	81	85
244	81	84
245	81	84
246	81	83
247	82	83
248	82	83
249	82	82
250	83	82
251	83	82
252	83	81
253	84	81
254	84	80
255	84	80
256	84	80
257	85	79
258	85	79
259	85	79
260	85	78
261	86	78
262	86	77
263	86	77
264	86	77
265	87	76
266	87	76
267	88	76
268	88	76
269	89	76
270	89	75
271	90	75
272	90	75
273	90	74
274	90	74
275	91	73
276	91	73
277	91	73
278	92	72
279	92	72
280	92	72
281	92	71
282	93	71
283	93	70
284	93	70
285	93	70
286	94	69
287	94	69
288	94	69
289	94	68
290	95	68
291	95	68
292	95	67
