proveedor_id,pieza_id,cantidad,fecha
6255,239,6,2024-05-27
9910,393,6,2024-06-12
5565,522,9,2024-11-28
1729,765,9,2024-05-25
3001,798,2,2024-11-05
1111,320,4,2024-12-21
1718,868,2,2024-11-10
6047,815,6,2024-10-02
8754,285,10,2025-03-12
6793,412,2,2024-08-01
6467,804,2,2024-08-27
8844,634,7,2024-06-02
1216,597,1,2024-07-01
4925,871,4,2024-12-25
9331,831,1,2024-11-05
2859,369,2,2025-04-15
5283,912,1,2025-02-16
8709,956,10,2024-07-10
8871,548,10,2025-02-20
1804,744,8,2024-11-28
6641,833,5,2025-01-24
2748,598,7,2024-09-05
9669,871,3,2025-04-21
3335,345,1,2024-08-23
1659,954,4,2024-06-10
8338,563,3,2025-04-12
3952,104,9,2025-02-24
7068,429,6,2024-05-02
6859,933,8,2024-11-09
4782,566,8,2024-12-26
8257,802,10,2024-12-22
7514,932,7,2025-02-24
6595,852,8,2024-10-14
4688,993,4,2024-10-18
6323,945,5,2025-04-14
8666,568,1,2024-11-05
5478,429,2,2024-09-11
1559,214,8,2024-12-24
4589,541,6,2025-02-18
1141,425,3,2024-09-14
3185,238,8,2024-11-09
1070,719,2,2025-03-05
7340,790,8,2024-12-21
2797,824,10,2024-06-17
6479,379,9,2025-04-05
8055,149,1,2024-07-10
2325,183,4,2024-06-23
4344,545,5,2024-11-25
1410,157,10,2025-01-24
1565,639,8,2024-08-14
5554,367,2,2024-11-03
5666,518,5,2024-10-14
1276,115,4,2024-07-29
3021,293,5,2025-01-23
7026,995,6,2024-12-08
5644,670,6,2025-02-16
5872,782,2,2024-09-30
7380,717,6,2024-08-19
8896,589,5,2025-04-03
7960,108,8,2025-03-24
9095,448,8,2024-10-10
8505,104,5,2024-08-14
1689,981,1,2024-05-09
3502,201,4,2024-07-10
5862,436,9,2024-12-15
2552,741,9,2024-05-27
9837,143,5,2024-05-13
9095,257,6,2024-09-09
2480,837,1,2025-01-02
6554,145,9,2024-06-01
5466,661,9,2024-10-17
9178,627,9,2025-02-04
1808,907,4,2025-02-15
5314,847,10,2025-02-05
6175,389,5,2024-05-06
6005,838,3,2024-09-16
2791,919,6,2025-03-08
2960,709,4,2024-07-27
4183,763,2,2024-09-29
4324,179,10,2025-04-14
5441,920,8,2024-12-20
1769,818,3,2025-02-28
6696,860,2,2024-06-24
5655,808,10,2025-04-08
8886,955,7,2024-05-15
6272,914,8,2025-01-20
7102,463,1,2024-06-23
8010,954,7,2024-09-24
1483,197,8,2024-09-25
5164,984,5,2024-05-13
3828,368,3,2025-02-04
9735,503,6,2024-12-03
6893,403,5,2025-02-12
9346,723,8,2025-03-24
3606,241,7,2024-06-02
2998,160,6,2024-07-17
8566,826,8,2024-09-23
8255,226,9,2024-08-02
2043,443,4,2025-03-09
7118,506,7,2024-07-25
3600,212,7,2025-01-26
3393,669,1,2024-09-24
3420,265,1,2024-11-11
7227,571,4,2025-03-20
7307,258,7,2024-07-26
4676,654,3,2025-03-07
7933,676,4,2025-03-15
6823,279,5,2024-05-19
5930,858,6,2024-05-07
7968,939,9,2025-03-27
5202,148,6,2024-07-13
4851,826,5,2024-12-17
4488,903,5,2024-12-13
1613,656,2,2024-06-08
7547,378,6,2024-05-13
7246,762,8,2024-07-31
3796,706,5,2025-04-22
2064,840,8,2024-07-02
1771,570,8,2024-10-16
4797,281,7,2024-12-11
8305,149,7,2024-11-18
6949,129,7,2024-09-20
9324,385,7,2025-04-24
2116,227,10,2024-12-02
4801,684,1,2024-10-26
4015,253,8,2024-06-25
9680,570,2,2025-04-10
5385,909,5,2024-05-10
6139,725,10,2025-03-15
6597,172,2,2024-08-13
3886,154,1,2024-09-02
6165,285,1,2024-11-15
6291,354,1,2024-12-17
9773,570,6,2024-06-07
9658,639,10,2024-06-25
9258,478,6,2024-04-30
4634,418,1,2024-12-22
1777,785,9,2024-11-24
3904,930,5,2024-11-01
7050,317,7,2025-04-05
8690,116,9,2024-10-09
8021,456,2,2024-06-13
9237,749,10,2024-09-14
5051,329,8,2024-12-02
7465,149,6,2024-09-02
8086,578,3,2024-04-24
3217,121,9,2025-04-17
9494,523,5,2024-08-21
4062,128,7,2024-07-31
4549,803,2,2025-04-06
6398,658,1,2025-01-09
2980,661,7,2024-07-25
4736,366,2,2024-11-26
3052,398,5,2025-02-05
5229,587,4,2024-07-05
9372,875,3,2024-06-13
8438,201,4,2024-11-04
2750,286,4,2024-08-31
6189,924,2,2024-07-31
7603,395,5,2025-03-11
5938,818,10,2024-04-30
7164,159,1,2024-12-12
