id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
30150966,Mi casa,226533761,Milagros,Arganzuela,Delicias,40.39996,-3.68571,Private room,45.0,5,53,2024-11-03,0.71,1,170,8,
929432791376776480,"Blueground | Chamberi, doorman, nr school",434208714,Blueground,Chamberí,Arapiles,40.4320818,-3.7091021,Entire home/apt,171.0,30,3,2024-08-13,0.32,247,146,3,
1167377194032618006,"Room, balcony, center of Madrid",343428667,Klevi,Centro,Justicia,40.427,-3.70115,Private room,42.0,1,15,2025-01-23,1.65,6,270,15,
943609117087283375,马德里的温馨公寓,522773633,Sofía,Tetuán,Bellas Vistas,40.4530676,-3.7064648,Private room,,1,1,2023-09-11,0.05,1,0,0,
24095882,Habitacion luminosa La Vaguada,4668085,Carmen,Fuencarral - El Pardo,Pilar,40.47672,-3.70812,Private room,,1,87,2020-09-27,1.03,1,0,0,
3368882,Sunny Bedroom in the center of Lavapiés,2546805,Agatha,Centro,Embajadores,40.40733,-3.70071,Private room,,2,1,2015-01-25,0.01,1,0,0,
1029832119305189520,Habitación privada en Chalet,367444024,Lidia,San Blas - Canillejas,Canillejas,40.44367124141361,-3.612699851660958,Private room,,1,1,2023-11-26,0.06,4,0,0,
565162511017975706,Apartamento entero en pleno centro de Madrid 1-2,40111464,Elena,Centro,Palacio,40.41727,-3.70994,Entire home/apt,139.0,1,329,2025-02-10,9.0,8,161,103,
1973442,Single ROOM IN LOFT/ City Center,10189139,Benito,Centro,Embajadores,40.41128,-3.70224,Private room,64.0,7,201,2024-11-20,1.58,1,0,9,
1138199263675049215,Piso con garaje junto a Ifema.,495666470,Goitorre,Hortaleza,Pinar del Rey,40.47014792620493,-3.633911337054093,Entire home/apt,85.0,1,42,2025-03-09,4.01,13,42,42,VT-14340
22355241,Estudio con terraza en Madrid Centro,46578624,Belen,Centro,Sol,40.41855,-3.70725,Entire home/apt,114.0,3,349,2025-03-03,4.1,1,32,18,VT-7301
978872929315209459,Habitación doble espaciosa.,536035686,Juan Ángel,Moratalaz,Vinateros,40.40664847139627,-3.6471168788296886,Private room,,20,5,2025-02-01,0.57,3,170,5,
32133730,"Loft Amplio,Independiente, WiFi, Zona Aparcamiento",86256784,Carlos Eduardo,Puente de Vallecas,San Diego,40.39751,-3.66883,Entire home/apt,72.0,2,330,2025-02-18,4.5,1,34,64,
898259869258856261,"Apartamento El Ático de Madrid, vistas a la ciudad",389605038,Winahost,Latina,Puerta del Angel,40.4120011,-3.7311524,Entire home/apt,53.0,1,0,,,7,223,0,
29294412,Self check in COVID FREE The Bohemian La Latina - Heart of Madrid,220685060,Pedro,Centro,Palacio,40.41211,-3.71072,Entire home/apt,103.0,2,197,2025-02-23,2.55,1,73,50,VT-5166
1863038,Modern and bright Duplex in La Latina/Plaza Mayor,1769179,Ian & Alberto,Centro,Palacio,40.41012,-3.71149,Entire home/apt,155.0,1,174,2025-02-22,1.26,1,243,8,
1223028650171340325,Atrium 4 Puerta de Toledo Collection Apartments,581846565,Victor,Arganzuela,Acacias,40.4038,-3.71267,Entire home/apt,79.0,1,76,2025-03-04,12.13,4,253,76,
872180849963914549,"Habitación ventana.
con litera. Para una persona.",106191672,Lorena,Puente de Vallecas,Palomeras Bajas,40.3904193679892,-3.662304285480608,Private room,,2,76,2024-12-08,3.39,1,0,24,
666045462835630676,Cibeles by SkyKey,258065833,Günter Florian,Centro,Universidad,40.42876,-3.70446,Entire home/apt,173.0,1,37,2024-06-16,1.21,5,0,5,VT-7208
19580262,Room in Madrid Center,41046144,Vishal,Centro,Cortes,40.41135,-3.69621,Private room,,2,0,,,1,0,0,
771446865052976686,Apartamento Acogedor Carpetana,394139103,Brandon,Carabanchel,San Isidro,40.39328,-3.73669,Entire home/apt,65.0,5,43,2024-12-08,1.65,13,340,22,VT
44134668,"Piso moderno nuevo en Chueca, centro de Madrid.",60360868,Jemima,Centro,Justicia,40.42269,-3.69986,Entire home/apt,174.0,3,31,2025-01-02,1.89,1,329,23,
19723041,"Beautiful Flat , wifi",58299194,Luis,Latina,Cármenes,40.40328,-3.7417,Private room,23.0,2,40,2024-09-30,0.44,2,184,3,
1184580989230307416,Privare Room Madrid Center For 3,577632529,Hernan Andres,Centro,Cortes,40.4152082,-3.701810099999999,Private room,54.0,2,33,2025-02-20,4.02,8,150,33,
1363667271775111919,Luxury Hortaleza,448546172,Oresmy,Centro,Justicia,40.4212205,-3.7005173,Entire home/apt,93.0,1,0,,,4,134,0,
1282651540755867131,Nuevo Departamento - Salamanca,82115062,Ruben,Salamanca,Guindalera,40.431708144147,-3.670984048719566,Entire home/apt,120.0,1,10,2025-02-28,2.48,5,65,10,
24257940,Charming Madrid Plaza - En la Plaza Mayor,182918520,Maite,Centro,Sol,40.41607,-3.70578,Entire home/apt,117.0,1,87,2025-02-26,1.06,1,266,32,
1239718324179265017,"Para 2 muy cerca de Ifema, estadio y Aeropuerto",20421252,Juan,San Blas - Canillejas,Rejas,40.4430076,-3.584378,Entire home/apt,77.0,2,18,2025-03-02,3.09,3,83,18,
34771105,P&E Apartment,262054578,Pedro,Chamberí,Trafalgar,40.43529,-3.69902,Private room,,1,0,,,1,0,0,
1028760605063079630,Habitación en Atocha.,159587607,Mariam,Arganzuela,Atocha,40.404727668443286,-3.686889294453935,Private room,30.0,1,9,2024-01-20,0.59,1,259,0,
21638682,NEW! AMAZING LUXURIOUS APARTMENT IN MADRID CENTER,1771095,Hans Rudolf Georg,Centro,Embajadores,40.41321,-3.7031,Entire home/apt,205.0,4,167,2025-03-02,1.88,13,54,24,VT-0000
1045513235996315049,Apartamento centro Madrid Malasaña M (MAL27),238061469,Paola,Chamberí,Trafalgar,40.42931359749284,-3.7033318005088094,Entire home/apt,220.0,1,10,2025-01-05,0.69,2,275,6,
16669645,Double Room Ensuite,97914995,Francisco De Asis,Centro,Palacio,40.41603,-3.71278,Private room,87.0,1,6,2023-12-22,0.08,5,0,0,500/2014/00210
604826429011592663,Tajahri - 2 bedrooms in Azca,346367515,Ukio,Tetuán,Cuatro Caminos,40.4480885141244,-3.696356890723729,Entire home/apt,137.0,31,0,,,341,126,0,
920070742255913695,Beautiful Duplex in Avenida América,291253690,Francisco Andres,Salamanca,Guindalera,40.43707,-3.66697,Entire home/apt,,1,14,2024-07-09,0.82,300,0,12,
18823896,3 rooms apartment in Puerta del Sol,34598812,Maroco,Centro,Sol,40.41656,-3.70445,Entire home/apt,288.0,1,91,2025-01-10,0.99,10,195,8,
1176216676938771732,Habitación exterior en piso con terraza,70034218,Aigerim,Usera,Pradolongo,40.37982,-3.70552,Private room,30.0,120,1,2024-08-14,0.14,21,315,1,
1353753583623365515,Cómoda habitación con baño privado,653794365,Antonio,Vicálvaro,Casco Histórico de Vicálvaro,40.39388919154778,-3.621187318588192,Private room,34.0,2,0,,,3,305,0,
52361968,Designer 2 Room Flat in Malasaña by ManteHouse,69224732,Leo Y Victor,Centro,Universidad,40.42315,-3.7022,Entire home/apt,168.0,2,103,2025-03-10,2.46,11,0,17,
35126047,CHAMPIONS LEAGUE FINAL. Two avalaible rooms,214389633,Sergio,Barajas,Timón,40.46872,-3.58592,Private room,,1,0,,,1,365,0,
1183111303225126444,Habitación triple junto a Plaza España,571742692,Liudmyla,Moncloa - Aravaca,Argüelles,40.42580886265896,-3.716864468316901,Private room,57.0,1,4,2025-02-28,0.68,15,331,4,
1141957249024842486,1 bedroom apartment in La Castellana,397053855,Sharing,Chamartín,Nueva España,40.46201,-3.68678,Entire home/apt,138.0,1,1,2025-02-08,1.0,51,358,1,
36158389,Apartamento en zona óptima,248646372,Ignacio,Chamartín,Hispanoamérica,40.45573,-3.68092,Entire home/apt,,10,0,,,1,0,0,
22416848,"Luxury PZA MAYOR/La Latina 2BD* 2BATH*, 6p max",29281033,Álvaro,Centro,Palacio,40.41293,-3.71126,Entire home/apt,146.0,2,458,2025-02-20,5.24,6,0,67,
25917631,TEATRO REAL PALACIO REAL MADRID CENTRO!!!,167893950,Fabricio,Centro,Palacio,40.4193,-3.71043,Private room,,365,3,2018-07-10,0.04,1,358,0,
52877663,Hostal Sardinero - Individual. Baño completo,5895129,Leslie,Centro,Cortes,40.41387,-3.69785,Private room,95.0,1,13,2024-05-28,0.32,5,2,1,
13592720,Habitación individual con el baño fuera,73091098,Maria Jose,Villa de Vallecas,Casco Histórico de Vallecas,40.3618,-3.59625,Private room,,1,0,,,1,0,0,
1304417897939076878,Private Room For 3 Retiro Park,660097310,Braulio Adrian,Retiro,Ibiza,40.4164859,-3.6744852,Private room,57.0,2,10,2025-02-19,4.35,11,170,10,
533073213391585296,Modern apartment in Cuzco area,438136382,Home Club,Tetuán,Castillejos,40.46111,-3.69548,Entire home/apt,116.0,1,1,2022-07-29,0.03,334,85,0,
27156338,Habitación La Latina,122786953,Elena,Arganzuela,Delicias,40.39743,-3.69308,Private room,,1,0,,,4,0,0,
1116536843329819818,Apartments Madrid Connection 1- Universidad 1,330873682,Williams,Tetuán,Valdeacederas,40.46513094463284,-3.705426457931307,Entire home/apt,83.0,1,0,,,12,275,0,
1323046602867685476,Madrid Urban Getaway - 2BR Apartment,439074505,Travelnest,Centro,Justicia,40.42154,-3.70089,Entire home/apt,1503.0,1,0,,,5,364,0,VT-45389492034
1110296644884208553,Habitación próxima al centro.,150318931,Sara,Puente de Vallecas,Entrevías,40.3758883,-3.6674958,Private room,34.0,2,43,2025-03-02,3.59,1,6,43,
836811176247799669,Habitación en Madrid Centro - El Rastro,42597721,Matteo,Centro,Embajadores,40.40849470000001,-3.7059843,Private room,,2,13,2024-09-18,0.81,1,0,8,
988344665467887057,Habitacion para Mujeres veganas,7738463,Mar,Carabanchel,San Isidro,40.39342,-3.72762,Private room,29.0,3,36,2025-03-02,2.09,1,80,24,
19529778,"casa reformada,habitacion privada,cerca del metro.",137157856,Cristobal,Carabanchel,Puerta Bonita,40.37779,-3.74213,Private room,17.0,1,65,2020-02-24,0.71,1,63,0,
1217851429597439692,BNBHolder Glam Plaza España,28786243,Emilio,Centro,Universidad,40.42859174275403,-3.7122444136589934,Entire home/apt,349.0,1,8,2025-01-02,1.29,70,324,8,
1035402718763324047,Numa | Medium Studio with Kitchenette in Madrid,546752699,Silvina Soledad,Centro,Universidad,40.4261211,-3.7024497,Entire home/apt,115.0,1,43,2025-02-02,2.91,3,327,38,
1289669402276559559,CC Atocha Apartment 3,303854942,Hotel Atocha Madrid,Arganzuela,Palos de Moguer,40.40540784192525,-3.694682388360597,Entire home/apt,167.0,1,12,2025-02-22,3.13,8,323,12,
3654455,Elegante y confortable Apto inmejorable zona,18487884,Carmen,Salamanca,Guindalera,40.43727,-3.67535,Entire home/apt,124.0,7,65,2025-03-10,0.55,2,265,19,VT-8491
787539563149733970,Las Cortes y Museos Madrid,490812264,Alexander,Centro,Cortes,40.4159034,-3.6955958,Entire home/apt,84.0,3,139,2025-02-16,5.35,17,300,56,
1246929967197413579,NewMad Iii apartment in Madrid,377605855,MIT House,Retiro,Pacífico,40.39955525230551,-3.6770954558158193,Entire home/apt,88.0,1,9,2025-02-25,1.93,340,345,9,
1139825983947766584,Farmacia I,438136382,Home Club,Centro,Justicia,40.42452,-3.69882,Entire home/apt,128.0,1,1,2024-06-18,0.11,334,0,1,
19289542,7 balcones en Lavapiés,33284006,Fernando,Centro,Embajadores,40.41117,-3.70164,Entire home/apt,,3,0,,,1,0,0,
1273171671821847610,Hogar acogedor en Hortaleza,14072404,Sonia,Hortaleza,Pinar del Rey,40.468079813725616,-3.653910834393319,Entire home/apt,70.0,3,10,2025-03-03,2.34,1,271,10,
827329727943902674,Cozy room - center of Madrid,29446134,Vittoria,Chamberí,Rios Rosas,40.44129,-3.69919,Private room,56.0,1,17,2025-02-16,0.71,1,333,6,
39937428,V3 - Apartamento con 2 Habitaciones,232520062,Alexander,Chamberí,Arapiles,40.43078,-3.71028,Entire home/apt,81.0,90,55,2023-06-03,0.87,37,294,0,
1224774875337889569,Apartamento nuevo en complejo privado 2,523452243,Abel,Ciudad Lineal,Pueblo Nuevo,40.4326994,-3.6455281,Entire home/apt,71.0,2,26,2025-03-02,4.62,7,89,26,
1217517221133202553,Exclusivo Apartamento en Goya,554702849,Miguel,Salamanca,Goya,40.42465,-3.67558,Entire home/apt,250.0,6,9,2025-02-10,1.34,4,84,9,
15353038,Acogedor apartamento en pleno centro de Madrid,70165534,Francois,Centro,Sol,40.41584,-3.70467,Entire home/apt,99.0,1,362,2025-02-10,3.55,1,205,59,vt-4520
816494099498335017,Cómoda Habitación Individual Madrid,464905761,Leidy,Hortaleza,Canillas,40.46423,-3.63458,Private room,,2,3,2023-06-10,0.12,2,0,0,
851266310209548293,Nuevo bien comunicado 1 dormitorio,236573839,Fernando María,Tetuán,Valdeacederas,40.46439435123566,-3.702786642029228,Entire home/apt,73.0,2,40,2025-02-24,1.69,9,159,24,VT-10678910
14579567,Lighting Loft in Madrid (La Latina),16666103,Sergio,Centro,Embajadores,40.41236,-3.70549,Entire home/apt,105.0,3,336,2025-01-05,3.24,7,53,27,
